Amnesia Collection,PS4,Yes,No
Animal Super Squad,Switch,Yes,No
Anodyne,Switch,Yes,No
Apex Legends,PS4,Yes,No
Asphalt 9,Switch,Yes,No
Bastion,Switch,Yes,No
Batman: Arkham Knight,PS4,Yes,No
Batman: The Enemy Within,PS4,Yes,No
Batman: The Taletale Series,PS4,Yes,No
Bendy And The Ink Machine,PS4,Yes,Yes
Bioshock,PS4,Yes,Yes
Bioshock 2,PS4,Yes,Yes
Bioshock 3,PS4,Yes,Yes
Blood Breed,Switch,Yes,No
Borderlands,PS4,Yes,No
Borderlands: The Handsome Collection,PS4,Yes,No
Brawlhalla,PS4,Yes,No
Brawlhalla,Switch,Yes,No
Bulb Boy,Switch,Yes,No
Call Of Duty: Black Ops 3,PS4,Yes,No
Carnival Games,Switch,Yes,No
Celeste,Switch,Yes,Yes
Close To The Sun,Switch,Yes,Yes
Concrete Genie,PS4,Yes,No
Crypt of the NecroDancer,Switch,Yes,No
Cuphead,Switch,Yes,No
Darkwood,Switch,Yes,No
Day Of The Tentacle Remastered,PS4,Yes,No
Days Gone,PS4,Yes,No
Dead Cells,Switch,Yes,Yes
Dead Island: Definitive Edition,PS4,Yes,No
Dead Island: Riptide Definitive Edition,PS4,Yes,No
Dead by Daylight,PS4,Yes,No
Death Stranding,PS4,Yes,Yes
Defunct,Switch,Yes,No
Destiny 2,PS4,Yes,No
Detroit: Become Human,PS4,Yes,No
Deus Ex,PS4,Yes,No
Dishonored 2,PS4,Yes,No
Dishonored: Definitive Edition,PS4,Yes,No
Don't Starve,Switch,Yes,No
Doom (2016),PS4,Yes,Yes
Doom 64,Switch,Yes,No
Drawful 2,Switch,Yes,No
Dream Alone,Switch,Yes,No
Dying: Reborn,PS4,Yes,No
Eqqo,Switch,Yes,No
Fallout 4,PS4,Yes,Yes
Final Fantasy X,PS4,Yes,No
Final Fantasy X2,PS4,Yes,No
Final Fantasy Xv,PS4,Yes,No
Flashback,Switch,Yes,No
Fortnite,PS4,Yes,No
Fractured Minds,Switch,Yes,Yes
Friday The 13Th,PS4,Yes,No
God Of War 3 Remastered,PS4,Yes,No
Goetia,Switch,Yes,No
Hello Neighbor,Switch,Yes,No
Here They Lie,PS4,Yes,No
Hidden,Switch,Yes,No
